"table_name"
"store_summary_view_new"
"x"
"view_1"
"sales_by_store_type"
"dim_customer"
"store_summary_view2"
"store_facts"
"view_2"
"country_region"
"sales_by_store_type1"
"dim_date"
"dim_product"
"forview"
"dim_store"
"orders"
"store_summary"
"store_summary_view"
"forquerying2"
